"","name","manufacturer","type","calories","protein","fat","sodium_mg","fiber_content_g","carbo_g","sugars_g","potass","vitamins","shelf","weight","cups","rating","X","mascot","has_mascot"
"1","100% Bran","Nabisco","C",70,4,1,130,10,5,6,280,25,"3",1,0.33,68.402973,NA,NA,"No"
"2","100% Natural Bran","Quaker Oats","C",120,3,5,15,2,8,8,135,0,"3",1,1,33.983679,NA,NA,"No"
"3","All-Bran","Kelloggs","C",70,4,1,260,9,7,5,320,25,"3",1,0.33,59.425505,NA,NA,"No"
"4","All-Bran with Extra Fiber","Kelloggs","C",50,4,0,140,14,8,0,330,25,"3",1,0.5,93.704912,NA,NA,"No"
"5","Almond Delight","Ralston Purina","C",110,2,2,200,1,14,8,-1,25,"3",1,0.75,34.384843,NA,NA,"No"
"6","Apple Cinnamon Cheerios","General Mills","C",110,2,2,180,1.5,10.5,10,70,25,"1",1,0.75,29.509541,NA,NA,"No"
"7","Apple Jacks","Kelloggs","C",110,2,0,125,1,11,14,30,25,"2",1,1,33.174094,NA,NA,"No"
"8","Basic 4","General Mills","C",130,3,2,210,2,18,8,100,25,"3",1.33,0.75,37.038562,NA,NA,"No"
"9","Bran Chex","Ralston Purina","C",90,2,1,200,4,15,6,125,25,"1",1,0.67,49.120253,NA,NA,"No"
"10","Bran Flakes","Post","C",90,3,0,210,5,13,5,190,25,"3",1,0.67,53.313813,NA,NA,"No"
"11","Cap'n'Crunch","Quaker Oats","C",120,1,2,220,0,12,12,35,25,"2",1,0.75,18.042851,40,"Cap’n Crunch (Horatio Magellan Crunch)","Yes"
"12","Cheerios","General Mills","C",110,6,2,290,2,17,1,105,25,"1",1,1.25,50.764999,175,"Pete the Cheerios Kid","Yes"
"13","Cinnamon Toast Crunch","General Mills","C",120,1,3,210,0,13,9,45,25,"2",1,0.75,19.823573,263,"Wendell","Yes"
"14","Clusters","General Mills","C",110,3,2,140,2,13,7,105,25,"3",1,0.5,40.400208,NA,NA,"No"
"15","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,37,"Buzz the Bee","Yes"
"16","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,53,"Cocoa Puffs’ Sheik of Shake","Yes"
"17","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,220,"Sonny the Cuckoo Bird","Yes"
"18","Corn Chex","Ralston Purina","C",110,2,0,280,0,22,3,25,25,"1",1,1,41.445019,NA,NA,"No"
"19","Corn Flakes","Kelloggs","C",100,2,0,290,1,21,2,35,25,"1",1,1,45.863324,64,"Cornelius Rooster","Yes"
"20","Corn Pops","Kelloggs","C",110,1,0,90,1,13,12,20,25,"2",1,1,35.782791,61,"Cornelius (Corny) the Corn","Yes"
"21","Count Chocula","General Mills","C",110,1,1,180,0,12,13,65,25,"2",1,1,22.396513,66,"Count Chocula","Yes"
"22","Cracklin' Oat Bran","Kelloggs","C",110,3,3,140,4,10,7,160,25,"3",1,0.5,40.448772,NA,NA,"No"
"23","Cream of Wheat (Quick)","Nabisco","H",100,3,0,80,1,21,0,-1,0,"2",1,1,64.533816,NA,NA,"No"
"24","Crispix","Kelloggs","C",110,2,0,220,1,21,3,30,25,"3",1,1,46.895644,NA,NA,"No"
"25","Crispy Wheat & Raisins","General Mills","C",100,2,1,140,2,11,10,120,25,"3",1,0.75,36.176196,NA,NA,"No"
"26","Double Chex","Ralston Purina","C",100,2,0,190,1,18,5,80,25,"3",1,0.75,44.330856,NA,NA,"No"
"27","Froot Loops","Kelloggs","C",110,2,1,125,1,11,13,30,25,"2",1,1,32.207582,251,"Toucan Sam","Yes"
